PART,ARCH,FULLARCH,FAMILY,IDCODE,DEVICE
xq7vx690trf1930-1I,virtex7,Virtex-7,qvirtex7,0x03691093,xq7vx690t
xq7vx690trf1930-2I,virtex7,Virtex-7,qvirtex7,0x03691093,xq7vx690t
xq7vx980trf1930-1I,virtex7,Virtex-7,qvirtex7,0x03696093,xq7vx980t
xq7vx980trf1930-2L,virtex7,Virtex-7,qvirtex7,0x03696093,xq7vx980t
xcvc1502-nsvg1369-1LHP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-1LHP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-1LP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-1LP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-1LP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-1MP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-1MP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-1MP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-2HP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-2LP-e-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-2LP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-2MP-e-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-2MP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-2MP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-nsvg1369-2MP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-1LHP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-1LHP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-1LP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-1LP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-1LP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-1MP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-1MP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-1MP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-2HP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-2LP-e-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-2LP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-2MP-e-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-2MP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-2MP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva1596-2MP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-1LHP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-1LHP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-1LP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-1LP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-1LP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-1MP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-1MP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-1MP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-2HP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-2LP-e-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-2LP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-2MP-e-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-2MP-e-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-2MP-i-L,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1502-vsva2197-2MP-i-S,versal,Versal ACAP,versal,0x04c9b093,xcvc1502
xcvc1702-nsvg1369-1LHP-i-L,versal,Versal ACAP,versal,0x04c98093,xcvc1702
xcvc1702-nsvg1369-1LHP-i-S,versal,Versal ACAP,versal,0x04c98093,xcvc1702
xcvc1702-nsvg1369-1LP-e-S,versal,Versal ACAP,versal,0x04c98093,xcvc1702
xcvc1702-nsvg1369-1LP-i-L,versal,Versal ACAP,versal,0x04c98093,xcvc1702
xcvc1702-nsvg1369-1LP-i-S,versal,Versal ACAP,versal,0x04c98093,xcvc1702
xcvc1702-nsvg1369-1MP-e-S,versal,Versal ACAP,versal,0x04c98093,xcvc1702
xcvc1702-nsvg1369-1MP-i-L,versal,Versal ACAP,versal,0x04c98093,xcvc1702
